LA_initialconc	dilu	nbtransfer	finaltime	Ct	At	MMnu	LA	ROS	finstate	exttimeat
0.05	10	5	15	2.86184e+08	338596	8.6043e-317	2.19495e-05	1.89949e-09	coex	5
0.1	10	5	15	5.88947e+08	697054	-6.38208e-318	2.88263e-09	1.20964e-13	coex	5
0.15	10	5	15	8.91967e+08	1.03226e+06	1.20161e-317	2.61826e-13	5.10728e-16	coex	5
0.2	10	5	15	1.1951e+09	1.34601e+06	6.37599e-318	2.06944e-17	1.22653e-15	coex	5
0.25	10	5	15	1.49828e+09	1.63982e+06	6.3792e-318	1.52003e-21	4.42236e-16	coex	5
0.3	10	5	15	1.8015e+09	1.91565e+06	6.37997e-318	1.06702e-25	1.02184e-15	coex	5
0.35	10	5	15	2.10473e+09	2.17535e+06	-6.38205e-318	7.26293e-30	6.07031e-16	coex	5
0.4	10	5	15	2.40799e+09	2.42049e+06	6.37673e-318	4.83465e-34	2.5465e-16	coex	5
0.45	10	5	15	2.71125e+09	2.65235e+06	6.38064e-318	3.16429e-38	-1.10972e-15	coex	5
0.5	10	5	15	3.01452e+09	2.87202e+06	6.38167e-318	2.04376e-42	1.61958e-16	coex	5
0.55	10	5	15	3.31781e+09	3.08039e+06	6.37813e-318	1.306e-46	-1.60208e-15	coex	5
0.6	10	5	15	3.6211e+09	3.2782e+06	6.37986e-318	8.27262e-51	-8.09994e-16	coex	5
0.65	10	5	15	3.9244e+09	3.46607e+06	-6.38106e-318	5.20171e-55	-2.30146e-16	coex	5
0.7	10	5	15	4.2277e+09	3.64454e+06	-6.38234e-318	3.25036e-59	4.10397e-16	coex	5
0.75	10	5	15	4.53101e+09	3.81405e+06	6.38111e-318	2.02014e-63	-1.5714e-15	coex	5
0.8	10	5	15	4.83433e+09	3.97498e+06	-6.38235e-318	1.24967e-67	1.63193e-16	coex	5
0.85	10	5	15	5.13765e+09	4.12766e+06	6.38092e-318	7.69886e-72	4.50428e-16	coex	5
0.9	10	5	15	5.44098e+09	4.27237e+06	6.37778e-318	4.72581e-76	3.40521e-16	coex	5
0.95	10	5	15	5.74431e+09	4.40937e+06	6.38096e-318	2.89147e-80	5.84833e-16	coex	5
1	10	5	15	6.04765e+09	4.53885e+06	6.38149e-318	1.76399e-84	4.82701e-17	coex	5
0.05	20	5	15	2.60087e+08	102855	1.49867e-316	0.000144095	1.37208e-08	coex	5
0.1	20	5	15	5.41038e+08	232583	-1.64206e-317	8.94632e-08	4.09535e-12	coex	5
0.15	20	5	15	8.21769e+08	358301	6.3823e-318	3.66494e-11	1.64821e-15	coex	5
0.2	20	5	15	1.10268e+09	477905	3.88456e-317	1.28977e-14	-3.48147e-16	coex	5
0.25	20	5	15	1.38366e+09	590932	2.04196e-317	4.19616e-18	1.16944e-16	coex	5
0.3	20	5	15	1.66468e+09	697640	-6.38203e-318	1.3013e-21	-5.14409e-16	coex	5
0.35	20	5	15	1.94573e+09	798478	7.09993e-318	3.90736e-25	6.75798e-16	coex	5
0.4	20	5	15	2.22679e+09	893904	1.3439e-317	1.14632e-28	-6.98134e-18	coex	5
0.45	20	5	15	2.50786e+09	984334	1.08926e-317	3.30465e-32	-5.3818e-16	coex	5
0.5	20	5	15	2.78894e+09	1.07013e+06	6.38042e-318	9.3975e-36	7.8968e-16	coex	5
0.55	20	5	15	3.07003e+09	1.15161e+06	6.38179e-318	2.64324e-39	-1.56357e-18	coex	5
0.6	20	5	15	3.35112e+09	1.22903e+06	6.3819e-318	7.3681e-43	-7.34895e-16	coex	5
0.65	20	5	15	3.63222e+09	1.30262e+06	6.38059e-318	2.03851e-46	-1.96393e-16	coex	5
0.7	20	5	15	3.91333e+09	1.37257e+06	6.38009e-318	5.60407e-50	1.54289e-15	coex	5
0.75	20	5	15	4.19443e+09	1.43906e+06	2.92804e-318	1.53222e-53	3.96857e-16	coex	5
0.8	20	5	15	4.47554e+09	1.50223e+06	6.3821e-318	4.16943e-57	5.27383e-16	coex	5
0.85	20	5	15	4.75666e+09	1.56219e+06	4.11406e-318	1.12986e-60	4.58194e-16	coex	5
0.9	20	5	15	5.03777e+09	1.61906e+06	6.38228e-318	3.05056e-64	9.56974e-16	coex	5
0.95	20	5	15	5.31889e+09	1.67293e+06	-6.38194e-318	8.20945e-68	-1.72871e-16	coex	5
1	20	5	15	5.60001e+09	1.72389e+06	-6.38036e-318	2.2028e-71	-4.94544e-16	coex	5
0.05	30	5	15	2.49107e+08	50279.7	-1.20718e-316	0.000329711	3.27789e-08	coex	5
0.1	30	5	15	5.22364e+08	120857	4.32743e-317	4.23883e-07	2.00982e-11	coex	5
0.15	30	5	15	7.94457e+08	191356	7.82064e-317	3.50155e-10	1.09595e-14	coex	5
0.2	30	5	15	1.06676e+09	259406	3.20508e-317	2.46726e-13	1.32835e-16	coex	5
0.25	30	5	15	1.33916e+09	324243	6.89129e-317	1.60248e-16	7.58722e-17	coex	5
